dataset,method,role,seed,budget_detail,valid_domains,expected_domains,complete,missing_or_invalid_domains,mean_mAP50_percent,mean_delta_vs_source_pp
DIOR,A,source,42,fixed_source_reference,4,4,True,,27.71138623356819,0.0
DIOR,AASFOD,ema,42,1detector_epoch_plus_TSD_disclosed_port,4,4,True,,23.09720069169998,-4.61418554186821
DIOR,AASFOD,ema,43,1detector_epoch_plus_TSD_disclosed_port,4,4,True,,23.111876845359802,-4.599509388208389
DIOR,AASFOD,ema,44,1detector_epoch_plus_TSD_disclosed_port,4,4,True,,23.411652073264122,-4.2997341603040695
DIOR,AASFOD,student,42,1detector_epoch_plus_TSD_disclosed_port,4,4,True,,19.496722519397736,-8.214663714170456
DIOR,AASFOD,student,43,1detector_epoch_plus_TSD_disclosed_port,4,4,True,,18.99033412337303,-8.72105211019516
DIOR,AASFOD,student,44,1detector_epoch_plus_TSD_disclosed_port,4,4,True,,18.934348970651627,-8.777037262916565
DIOR,B,ema,42,common_1detector_epoch,4,4,True,,28.084934130311012,0.37354789674282074
DIOR,B,ema,43,common_1detector_epoch,4,4,True,,28.070272877812386,0.35888664424419403
DIOR,B,ema,44,common_1detector_epoch,4,4,True,,28.187596052885056,0.476209819316864
DIOR,B,student,42,common_1detector_epoch,4,4,True,,25.814011693000793,-1.897374540567398
DIOR,B,student,43,common_1detector_epoch,4,4,True,,26.312096416950226,-1.3992898166179657
DIOR,B,student,44,common_1detector_epoch,4,4,True,,25.88018923997879,-1.8311969935894012
DIOR,B_REG,ema,42,common_1detector_epoch,4,4,True,,28.219252079725266,0.507865846157074
DIOR,B_REG,ema,43,common_1detector_epoch,4,4,True,,28.131327405571938,0.41994117200374603
DIOR,B_REG,ema,44,common_1detector_epoch,4,4,True,,28.148221224546432,0.43683499097824097
DIOR,C,ema,42,common_1detector_epoch,4,4,True,,28.0484676361084,0.3370814025402069
DIOR,C,ema,43,common_1detector_epoch,4,4,True,,28.081495314836502,0.37010908126831055
DIOR,C,ema,44,common_1detector_epoch,4,4,True,,28.09446081519127,0.3830745816230774
DIOR,C,student,42,common_1detector_epoch,4,4,True,,25.48689991235733,-2.224486321210861
DIOR,C,student,43,common_1detector_epoch,4,4,True,,25.253291428089142,-2.4580948054790497
DIOR,C,student,44,common_1detector_epoch,4,4,True,,25.74641779065132,-1.9649684429168701
DIOR,D,ema,42,common_1detector_epoch,4,4,True,,27.610457316040993,-0.10092891752719879
DIOR,D,ema,43,common_1detector_epoch,4,4,True,,27.67345979809761,-0.037926435470581055
DIOR,D,ema,44,common_1detector_epoch,4,4,True,,27.585414052009583,-0.125972181558609
