dataset,method,role,domain,budget_detail,valid_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
DIOR,F,ema,contrast,common_1detector_epoch,3,3,42;43;44,28.044195969899494,0.1831004013472844,-0.11611680189768474
DIOR,F,student,brightness,common_1detector_epoch,3,3,42;43;44,15.55736760298411,0.8030552426092071,-8.61105223496755
DIOR,F,student,clean,common_1detector_epoch,3,3,42;43;44,19.914768139521282,0.5432032782505478,-9.575216968854269
DIOR,F,student,cloudy,common_1detector_epoch,3,3,42;43;44,18.43308061361313,0.8527698732454968,-10.593746602535248
DIOR,F,student,contrast,common_1detector_epoch,3,3,42;43;44,19.80208456516266,0.5181406036317108,-8.358228206634521
DIOR,F_text_only,ema,brightness,common_1detector_epoch,3,3,42;43;44,23.936361571153004,0.04442217942166045,-0.23205826679865518
DIOR,F_text_only,ema,clean,common_1detector_epoch,3,3,42;43;44,29.826428492863972,0.09887779962844254,0.33644338448842365
DIOR,F_text_only,ema,cloudy,common_1detector_epoch,3,3,42;43;44,28.534795840581257,0.13353873003371214,-0.49203137556711835
DIOR,F_text_only,ema,contrast,common_1detector_epoch,3,3,42;43;44,27.996676166852314,0.16159249464138492,-0.1636366049448649
DIOR,F_veto_only,ema,brightness,common_1detector_epoch,3,3,42;43;44,24.59673633178075,0.10834394036638874,0.42831649382909137
DIOR,F_veto_only,ema,clean,common_1detector_epoch,3,3,42;43;44,29.910799860954285,0.05927550245829581,0.42081475257873535
DIOR,F_veto_only,ema,cloudy,common_1detector_epoch,3,3,42;43;44,29.685422778129578,0.12692991769659234,0.6585955619812012
DIOR,F_veto_only,ema,contrast,common_1detector_epoch,3,3,42;43;44,28.49121888478597,0.011009491122341881,0.33090611298878986
DIOR,IRG,ema,brightness,common_1detector_epoch,3,3,42;43;44,24.42249208688736,0.09216536587205706,0.25407224893569946
DIOR,IRG,ema,clean,common_1detector_epoch,3,3,42;43;44,29.77634270985921,0.03368371087881133,0.2863576014836629
DIOR,IRG,ema,cloudy,common_1detector_epoch,3,3,42;43;44,29.329996307690937,0.17849434556394944,0.30316909154256183
DIOR,IRG,ema,contrast,common_1detector_epoch,3,3,42;43;44,28.424392143885296,0.07705186982994963,0.26407937208811444
DIOR,IRG,student,brightness,common_1detector_epoch,3,3,42;43;44,23.088031510512035,0.5277083693225437,-1.080388327439626
DIOR,IRG,student,clean,common_1detector_epoch,3,3,42;43;44,27.467823028564453,0.39131851682542473,-2.022162079811096
DIOR,IRG,student,cloudy,common_1detector_epoch,3,3,42;43;44,27.023316423098247,0.33857323576018045,-2.0035107930501304
DIOR,IRG,student,contrast,common_1detector_epoch,3,3,42;43;44,26.50485336780548,0.27405892673916166,-1.6554594039916992
DIOR,LPLD,ema,brightness,common_1detector_epoch,3,3,42;43;44,24.782695372899372,0.03954812607094045,0.6142755349477133
DIOR,LPLD,ema,clean,common_1detector_epoch,3,3,42;43;44,29.86292640368144,0.15613720857499247,0.3729412953058879
DIOR,LPLD,ema,cloudy,common_1detector_epoch,3,3,42;43;44,29.321467876434326,0.2369024688141021,0.2946406602859497
DIOR,LPLD,ema,contrast,common_1detector_epoch,3,3,42;43;44,28.53620449701945,0.14106807411334193,0.3758917252222697
DIOR,LPLD,student,brightness,common_1detector_epoch,3,3,42;43;44,23.55305751164754,0.4187743292918159,-0.6153623263041178
