dataset,method,role,domain,budget_detail,valid_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
RSAR,F,student,chaff,common_1detector_epoch,3,3,42;43;44,22.165006895860035,4.971736642954455,-25.028082231680553
RSAR,F,student,clean,common_1detector_epoch,3,3,42;43;44,25.912936528523762,2.4923561059953365,-27.227042118708294
RSAR,F,student,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,26.759104430675507,1.9496806090748369,-26.054610311985016
RSAR,F,student,noise_suppression,common_1detector_epoch,3,3,42;43;44,10.4974331955115,2.901891614923824,-5.843242754538854
RSAR,F,student,point_target,common_1detector_epoch,3,3,42;43;44,27.33874022960663,0.9618431234985002,-24.24527108669281
RSAR,F,student,smart_suppression,common_1detector_epoch,3,3,42;43;44,7.906778156757355,3.5954630924931923,-6.465868651866913
RSAR,F_text_only,ema,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,14.41726932922999,1.0290804174925627,-6.203339000542958
RSAR,F_text_only,ema,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,15.941780308882395,0.8296901155719112,-3.1325836976369223
RSAR,F_text_only,ema,chaff,common_1detector_epoch,3,3,42;43;44,44.95209753513336,0.2388190271932329,-2.2409915924072266
RSAR,F_text_only,ema,clean,common_1detector_epoch,3,3,42;43;44,51.48921410242716,0.3349991733407289,-1.6507645448048909
RSAR,F_text_only,ema,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,51.28712852795919,0.6333688592445318,-1.5265862147013347
RSAR,F_text_only,ema,noise_suppression,common_1detector_epoch,3,3,42;43;44,15.517861147721609,0.5317047277841792,-0.8228148023287455
RSAR,F_text_only,ema,point_target,common_1detector_epoch,3,3,42;43;44,49.844188491503395,0.7342730714693383,-1.7398228247960408
RSAR,F_text_only,ema,smart_suppression,common_1detector_epoch,3,3,42;43;44,13.737606008847555,0.738176351091683,-0.635040799776713
RSAR,F_veto_only,ema,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,23.836690187454224,0.9329812331605114,3.2160818576812744
RSAR,F_veto_only,ema,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,24.424031873544056,0.2998614703692136,5.349667867024739
RSAR,F_veto_only,ema,chaff,common_1detector_epoch,3,3,42;43;44,46.56147658824921,0.14457544737977393,-0.6316125392913818
RSAR,F_veto_only,ema,clean,common_1detector_epoch,3,3,42;43;44,52.547186613082886,0.5698000547821154,-0.5927920341491699
RSAR,F_veto_only,ema,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,52.072725693384804,0.29814640100374706,-0.7409890492757162
RSAR,F_veto_only,ema,noise_suppression,common_1detector_epoch,3,3,42;43;44,17.486247917016346,0.6156765193970392,1.1455719669659932
RSAR,F_veto_only,ema,point_target,common_1detector_epoch,3,3,42;43;44,50.523229440053306,0.42829749634898984,-1.0607818762461345
RSAR,F_veto_only,ema,smart_suppression,common_1detector_epoch,3,3,42;43;44,15.365925431251526,0.14970738933945849,0.9932786226272583
RSAR,IRG,ema,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,22.062731782595318,0.3605901755935192,1.4421234528223674
RSAR,IRG,ema,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,24.656572937965393,0.6710719447439595,5.582208931446075
RSAR,IRG,ema,chaff,common_1detector_epoch,3,3,42;43;44,49.04083808263143,0.8086197746172764,1.8477489550908406
RSAR,IRG,ema,clean,common_1detector_epoch,3,3,42;43;44,54.8036793867747,0.23856795201441997,1.6637007395426433
RSAR,IRG,ema,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,54.74088986714681,0.3555645905512538,1.9271751244862874
RSAR,IRG,ema,noise_suppression,common_1detector_epoch,2,3,42;43,19.259918481111526,0.6051539339603315,2.9192425310611725
RSAR,IRG,ema,point_target,common_1detector_epoch,2,3,42;43,52.62284576892853,0.013322618814293603,1.0388344526290894
RSAR,IRG,ema,smart_suppression,common_1detector_epoch,3,3,42;43;44,15.951270361741384,0.7603521410842344,1.5786235531171162
RSAR,IRG,student,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,6.78157073756059,1.0078592497040375,-13.839037592212359
RSAR,IRG,student,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,8.179652194182077,0.40468437895023607,-10.89471181233724
RSAR,IRG,student,chaff,common_1detector_epoch,3,3,42;43;44,19.3618506193161,2.404025963617486,-27.831238508224487
RSAR,IRG,student,clean,common_1detector_epoch,3,3,42;43;44,23.022570212682087,3.7241143265047723,-30.11740843454997
RSAR,IRG,student,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,23.762327432632446,2.6491434937909406,-29.051387310028076
RSAR,IRG,student,noise_suppression,common_1detector_epoch,2,3,42;43,17.03013926744461,2.359597635909679,0.6894633173942566
RSAR,IRG,student,point_target,common_1detector_epoch,2,3,42;43,22.82150685787201,1.8190537670453353,-28.76250445842743
RSAR,IRG,student,smart_suppression,common_1detector_epoch,3,3,42;43;44,11.867277572552362,0.5016456831172872,-2.5053692360719046
RSAR,LPLD,ema,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,19.508756697177887,0.5348885297019673,-1.1118516325950623
RSAR,LPLD,ema,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,20.5753689010938,2.70973841685779,1.5010048945744832
RSAR,LPLD,ema,chaff,common_1detector_epoch,3,3,42;43;44,47.9141891002655,0.20738229184658202,0.7210999727249146
RSAR,LPLD,ema,clean,common_1detector_epoch,3,3,42;43;44,53.39462558428446,0.3143614988903384,0.2546469370524089
RSAR,LPLD,ema,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,53.35723161697388,0.3514468586493578,0.5435168743133545
RSAR,LPLD,ema,noise_suppression,common_1detector_epoch,2,3,42;43,18.61385703086853,0.08400077642463735,2.2731810808181763
RSAR,LPLD,ema,point_target,common_1detector_epoch,2,3,42;43,51.81949436664581,0.6312544235719154,0.2354830503463745
RSAR,LPLD,ema,smart_suppression,common_1detector_epoch,3,3,42;43;44,13.723042358954748,1.9921819175712243,-0.64960444966952
RSAR,LPLD,student,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,5.405246838927269,1.9213628811699301,-15.21536149084568
RSAR,LPLD,student,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,5.190490807096164,0.7893394320135847,-13.883873199423155
RSAR,LPLD,student,chaff,common_1detector_epoch,3,3,42;43;44,21.538741886615753,2.46278350983471,-25.654347240924835
RSAR,LPLD,student,clean,common_1detector_epoch,3,3,42;43;44,23.308930297692616,2.404505035208471,-29.83104834953944
RSAR,LPLD,student,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,22.074033816655476,1.4374839300167228,-30.739680926005047
RSAR,LPLD,student,noise_suppression,common_1detector_epoch,2,3,42;43,13.231570646166801,1.156480547180581,-3.1091053038835526
RSAR,LPLD,student,point_target,common_1detector_epoch,2,3,42;43,23.75793308019638,0.7141024836897798,-27.826078236103058
RSAR,LPLD,student,smart_suppression,common_1detector_epoch,3,3,42;43;44,8.17404401799043,2.8611539081187676,-6.198602790633838
RSAR,LoRA-CGA,ema,am_noise_horizontal,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,22.062895198663075,0.9971305765941075,1.4422868688901265
RSAR,LoRA-CGA,ema,am_noise_vertical,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,21.876042584578197,1.9538031057734682,2.8016785780588784
RSAR,LoRA-CGA,ema,chaff,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,46.715437372525535,0.5134552059911067,-0.47765175501505536
RSAR,LoRA-CGA,ema,clean,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,51.43395860989889,0.9410447295287583,-1.7060200373331706
RSAR,LoRA-CGA,ema,gaussian_white_noise,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,52.19614704449972,0.24384942185468583,-0.6175676981608073
RSAR,LoRA-CGA,ema,noise_suppression,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,18.746373057365417,0.26690939476671593,2.4056971073150635
RSAR,LoRA-CGA,ema,point_target,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,49.861724177996315,1.0924229522468882,-1.7222871383031209
RSAR,LoRA-CGA,ema,smart_suppression,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,16.024276117483776,0.4468572470222417,1.6516293088595073
RSAR,LoRA-CGA+VLST,ema,am_noise_horizontal,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,23.23770473400752,0.3537092748349283,2.617096404234568
RSAR,LoRA-CGA+VLST,ema,am_noise_vertical,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,25.64936677614848,0.4655094541336161,6.575002769629161
RSAR,LoRA-CGA+VLST,ema,chaff,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,46.97600404421488,0.4258647778400256,-0.21708508332570395
RSAR,LoRA-CGA+VLST,ema,clean,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,52.37800280253092,0.16226729854073602,-0.7619758447011312
RSAR,LoRA-CGA+VLST,ema,gaussian_white_noise,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,52.555328607559204,0.3823925179507935,-0.25838613510131836
RSAR,LoRA-CGA+VLST,ema,noise_suppression,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,19.309315085411072,0.6266020131536897,2.9686391353607178
RSAR,LoRA-CGA+VLST,ema,point_target,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,50.610037644704185,0.26591168304873414,-0.9739736715952555
RSAR,LoRA-CGA+VLST,ema,smart_suppression,SUPERVISED_ORACLE_1detector_epoch_plus_LoRA10epochs,3,3,42;43;44,17.316942910353344,0.8027856570370473,2.944296101729075
RSAR,SFUT,ema,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,22.068267067273457,0.19772278408214758,1.4476587375005086
RSAR,SFUT,ema,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,22.676911453406017,0.6196681599616815,3.6025474468866983
RSAR,SFUT,ema,chaff,common_1detector_epoch,3,3,42;43;44,48.426905274391174,0.16732954861131655,1.233816146850586
RSAR,SFUT,ema,clean,common_1detector_epoch,3,3,42;43;44,54.641433556874595,0.2021570214467525,1.5014549096425374
RSAR,SFUT,ema,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,53.90218695004781,0.3619840220794947,1.0884722073872883
RSAR,SFUT,ema,noise_suppression,common_1detector_epoch,2,3,42;43,17.510703951120377,0.07478009964166651,1.1700280010700226
RSAR,SFUT,ema,point_target,common_1detector_epoch,3,3,42;43;44,52.272470792134605,0.13402668632892156,0.6884594758351644
RSAR,SFUT,ema,smart_suppression,common_1detector_epoch,3,3,42;43;44,14.739995698134104,0.1415669292891277,0.36734888950983685
RSAR,SFUT,student,am_noise_horizontal,common_1detector_epoch,3,3,42;43;44,7.540367543697357,0.7436426763051349,-13.080240786075592
RSAR,SFUT,student,am_noise_vertical,common_1detector_epoch,3,3,42;43;44,8.457965155442556,1.523857873427651,-10.616398851076761
RSAR,SFUT,student,chaff,common_1detector_epoch,3,3,42;43;44,21.846558153629303,2.9738143969343547,-25.346530973911285
RSAR,SFUT,student,clean,common_1detector_epoch,3,3,42;43;44,25.46928972005844,1.1260868299002291,-27.670688927173615
RSAR,SFUT,student,gaussian_white_noise,common_1detector_epoch,3,3,42;43;44,25.955512126286823,1.803849058583566,-26.8582026163737
RSAR,SFUT,student,noise_suppression,common_1detector_epoch,2,3,42;43,13.35737630724907,0.6455664396550022,-2.983299642801285
RSAR,SFUT,student,point_target,common_1detector_epoch,3,3,42;43;44,25.2520094315211,0.7987905834682889,-26.33200188477834
RSAR,SFUT,student,smart_suppression,common_1detector_epoch,3,3,42;43;44,12.192684412002563,1.052602306906923,-2.179962396621704
RSAR,SFYOLO,ema,am_noise_horizontal,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,21.590482195218403,3.3140036853317776,0.969873865445455
RSAR,SFYOLO,ema,am_noise_vertical,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,18.280185759067535,1.1183021800691102,-0.7941782474517822
RSAR,SFYOLO,ema,chaff,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,44.48074599107107,0.10832197102237495,-2.712343136469523
RSAR,SFYOLO,ema,clean,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,47.01010783513387,0.4577095418590088,-6.1298708120981855
RSAR,SFYOLO,ema,gaussian_white_noise,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,50.18951594829559,1.422591937013116,-2.624198794364929
RSAR,SFYOLO,ema,noise_suppression,EXTENDED_2detector_epochs_plus_TAM160k,2,3,42;44,15.20882248878479,0.34997900066476184,-1.131853461265564
RSAR,SFYOLO,ema,point_target,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,48.483943939208984,1.1743769195638265,-3.100067377090454
RSAR,SFYOLO,ema,smart_suppression,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,13.578373690446218,2.505546184444332,-0.7942731181780497
RSAR,SFYOLO,student,am_noise_horizontal,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,11.182245115439096,4.594459490685302,-9.438363214333853
RSAR,SFYOLO,student,am_noise_vertical,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,7.929327338933945,0.7676974847398678,-11.145036667585373
RSAR,SFYOLO,student,chaff,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,19.395441313584644,2.2348804243216596,-27.797647813955944
RSAR,SFYOLO,student,clean,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,12.694824486970901,1.9241968125599371,-40.445154160261154
RSAR,SFYOLO,student,gaussian_white_noise,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,21.252777179082234,4.536345772422103,-31.56093756357829
RSAR,SFYOLO,student,noise_suppression,EXTENDED_2detector_epochs_plus_TAM160k,2,3,42;44,11.549198254942894,1.3466197322102027,-4.79147769510746
RSAR,SFYOLO,student,point_target,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,21.735156575838726,1.7202399126228411,-29.848854740460713
RSAR,SFYOLO,student,smart_suppression,EXTENDED_2detector_epochs_plus_TAM160k,3,3,42;43;44,7.245437676707904,2.1852742075150196,-7.127209131916364
