dataset,domain,method,seed,role,status,source_clean_TEST,source_corruption_mAP50,source_degradation,delta_A,recovery_ratio,interpretation
RSAR,chaff,A,42,source,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,0.0,0.0,descriptive_only_unstable_near_zero_gap
RSAR,chaff,B,42,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.2246776670217514,-3.7780703051199107,descriptive_only_unstable_near_zero_gap
RSAR,chaff,B,43,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.21746724843978882,-3.6568234153284105,descriptive_only_unstable_near_zero_gap
RSAR,chaff,B,44,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.24785442650318146,-4.16779941316348,descriptive_only_unstable_near_zero_gap
RSAR,chaff,C,42,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.1857578158378601,-3.123613028672802,descriptive_only_unstable_near_zero_gap
RSAR,chaff,C,43,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.17013227939605713,-2.8608616123220636,descriptive_only_unstable_near_zero_gap
RSAR,chaff,C,44,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.18131285905838013,-3.048868798689014,descriptive_only_unstable_near_zero_gap
RSAR,chaff,D,42,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.22205515205860138,-3.7339713697947072,descriptive_only_unstable_near_zero_gap
RSAR,chaff,D,43,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.22367356717586517,-3.7611858507751403,descriptive_only_unstable_near_zero_gap
RSAR,chaff,D,44,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.1287977695465088,-2.165800610891305,descriptive_only_unstable_near_zero_gap
RSAR,chaff,E,42,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.2520119845867157,-4.237710886544104,descriptive_only_unstable_near_zero_gap
RSAR,chaff,E,43,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.2536482959985733,-4.265226302904866,descriptive_only_unstable_near_zero_gap
RSAR,chaff,E,44,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.23818710446357727,-4.005238430525522,descriptive_only_unstable_near_zero_gap
RSAR,chaff,F,42,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.29778578877449036,-5.00742090110226,descriptive_only_unstable_near_zero_gap
RSAR,chaff,F,43,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.25444383919239044,-4.278603770086372,descriptive_only_unstable_near_zero_gap
RSAR,chaff,F,44,student,complete,0.5313997864723206,0.4719308912754059,0.05946889519691467,-0.19861283898353577,-3.339776841757102,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,A,42,source,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,0.0,0.0,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,B,42,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.2523811459541321,-77.35490883846688,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,B,43,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.23218593001365662,-71.16506814278928,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,B,44,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.26538407802581787,-81.34031203186086,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,C,42,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.2080846130847931,-63.77800613833169,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,C,43,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.21129727363586426,-64.76268771237531,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,C,44,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.21393075585365295,-65.5698509262304,descriptive_only_unstable_near_zero_gap
RSAR,gaussian_white_noise,D,42,student,complete,0.5313997864723206,0.5281371474266052,0.003262639045715332,-0.26527106761932373,-81.30567430304359,descriptive_only_unstable_near_zero_gap
