dataset,method,role,metric,status,n,mean,sample_std,bootstrap_ci95_low,bootstrap_ci95_high,seeds
RSAR,A,source,mPC,fixed_source,1,0.31714158611638205,,,,42 (one fixed source measurement)
RSAR,A,source,delta_A,fixed_source,1,0.0,,,,42 (one fixed source measurement)
RSAR,A,source,rPC_percent,fixed_source,1,59.68041278708742,,,,42 (one fixed source measurement)
RSAR,A,source,method_clean_normalized_percent,incomplete,0,,,,,42 (one fixed source measurement)
RSAR,A,source,clean_mAP50,fixed_source,1,0.5313997864723206,,,,42 (one fixed source measurement)
RSAR,A,source,clean_delta_A,fixed_source,1,0.0,,,,42 (one fixed source measurement)
RSAR,B,student,mPC,complete_low_power,3,0.1838586422659102,0.008083190852935069,0.17466894537210464,0.18986773171595164,"42,43,44"
RSAR,B,student,delta_A,complete_low_power,3,-0.13328294385047185,0.008083190852935069,-0.1424726407442774,-0.1272738544004304,"42,43,44"
RSAR,B,student,rPC_percent,complete_low_power,3,34.598930399737185,1.5211129282898401,32.86959269058772,35.72973428845016,"42,43,44"
RSAR,B,student,method_clean_normalized_percent,complete_low_power,3,64.9773274229272,3.436694827167551,61.751475977511326,68.59182332281141,"42,43,44"
RSAR,B,student,clean_mAP50,complete_low_power,3,0.28337706128756207,0.0171970085018207,0.2704327404499054,0.3028903305530548,"42,43,44"
RSAR,B,student,clean_delta_A,complete_low_power,3,-0.2480227251847585,0.0171970085018207,-0.26096704602241516,-0.22850945591926575,"42,43,44"
RSAR,C,student,mPC,complete_low_power,3,0.22064006009272166,0.0022627189005607873,0.2187350413628987,0.2231411412358284,"42,43,44"
RSAR,C,student,delta_A,complete_low_power,3,-0.0965015260236604,0.0022627189005607873,-0.09840654475348336,-0.09400044488055366,"42,43,44"
RSAR,C,student,rPC_percent,complete_low_power,3,41.52053984767913,0.42580350202655376,41.16204916358056,41.99119888947327,"42,43,44"
RSAR,C,student,method_clean_normalized_percent,complete_low_power,3,67.57224364619935,1.9286319913665773,66.41016538293698,69.79851891305928,"42,43,44"
RSAR,C,student,clean_mAP50,complete_low_power,3,0.32671518127123517,0.010543086435173236,0.3152559697628021,0.33600449562072754,"42,43,44"
RSAR,C,student,clean_delta_A,complete_low_power,3,-0.20468460520108542,0.010543086435173236,-0.21614381670951843,-0.19539529085159302,"42,43,44"
RSAR,D,student,mPC,complete_low_power,3,0.17485427377479415,0.029134584787146724,0.15424384442823275,0.20818624858345305,"42,43,44"
RSAR,D,student,delta_A,complete_low_power,3,-0.1422873123415879,0.029134584787146728,-0.16289774168814933,-0.108955337532929,"42,43,44"
RSAR,D,student,rPC_percent,complete_low_power,3,32.90446820379029,5.482611308626162,29.02595152553133,39.176953751805286,"42,43,44"
RSAR,D,student,method_clean_normalized_percent,complete_low_power,3,52.12619102053059,3.1249451806657493,48.562610543286574,54.398850914784354,"42,43,44"
RSAR,D,student,clean_mAP50,complete_low_power,3,0.33461466431617737,0.0422382743191237,0.3035220801830292,0.38270339369773865,"42,43,44"
RSAR,D,student,clean_delta_A,complete_low_power,3,-0.1967851221561432,0.0422382743191237,-0.22787770628929138,-0.1486963927745819,"42,43,44"
RSAR,E,student,mPC,complete_low_power,3,0.17248072617110752,0.007905512459700403,0.1640284646834646,0.17969292189393724,"42,43,44"
RSAR,E,student,delta_A,complete_low_power,3,-0.14466085994527453,0.007905512459700418,-0.15311312143291747,-0.1374486642224448,"42,43,44"
RSAR,E,student,rPC_percent,complete_low_power,3,32.45780870860242,1.4876770109715085,30.86724324305096,33.81501582581028,"42,43,44"
RSAR,E,student,method_clean_normalized_percent,complete_low_power,3,70.14862696234799,2.885695394104227,67.6992193647256,73.32974066787266,"42,43,44"
RSAR,E,student,clean_mAP50,complete_low_power,3,0.2459830790758133,0.010188319862609492,0.23629464209079742,0.256606787443161,"42,43,44"
RSAR,E,student,clean_delta_A,complete_low_power,3,-0.28541670739650726,0.010188319862609492,-0.29510514438152313,-0.27479299902915955,"42,43,44"
RSAR,F,student,mPC,complete_low_power,3,0.1503108333618868,0.015007748606168731,0.1354952443923269,0.16550363014851296,"42,43,44"
RSAR,F,student,delta_A,complete_low_power,3,-0.16683075275449524,0.015007748606168743,-0.18164634172405517,-0.15163795596786908,"42,43,44"
RSAR,F,student,rPC_percent,complete_low_power,3,28.285828709062937,2.824191689235925,25.497798049902784,31.144843178655226,"42,43,44"
RSAR,F,student,method_clean_normalized_percent,complete_low_power,3,58.73827437560107,11.68251188932254,49.422948533173894,71.84576643007048,"42,43,44"
RSAR,F,student,clean_mAP50,complete_low_power,3,0.2591293652852376,0.024923561059953366,0.23035961389541626,0.27415451407432556,"42,43,44"
RSAR,F,student,clean_delta_A,complete_low_power,3,-0.27227042118708294,0.024923561059953366,-0.3010401725769043,-0.257245272397995,"42,43,44"
DIOR,A,source,mPC,fixed_source,1,0.2711851994196574,,,,42 (one fixed source measurement)
DIOR,A,source,delta_A,fixed_source,1,0.0,,,,42 (one fixed source measurement)
DIOR,A,source,rPC_percent,fixed_source,1,91.9584050053105,,,,42 (one fixed source measurement)
DIOR,A,source,method_clean_normalized_percent,incomplete,0,,,,,42 (one fixed source measurement)
DIOR,A,source,clean_mAP50,fixed_source,1,0.2948998510837555,,,,42 (one fixed source measurement)
DIOR,A,source,clean_delta_A,fixed_source,1,0.0,,,,42 (one fixed source measurement)
DIOR,B,student,mPC,complete_low_power,3,0.254726380109787,0.0021754252485363004,0.2531271477540334,0.2572035888830821,"42,43,44"
