dataset,method,role,seed,corruptions_observed,corruptions_expected,status,mPC,delta_A,rPC_percent,method_clean_normalized_percent,clean_mAP50,clean_delta_A
RSAR,B,student,42,7,7,complete_corruption_block,0.18986773171595164,-0.1272738544004304,35.72973428845016,68.59182332281141,0.27680811285972595,-0.2545916736125946
RSAR,B,student,43,7,7,complete_corruption_block,0.18703924970967428,-0.13010233640670776,35.197464220173664,61.751475977511326,0.3028903305530548,-0.22850945591926575
RSAR,B,student,44,7,7,complete_corruption_block,0.17466894537210464,-0.1424726407442774,32.86959269058772,64.58868296845888,0.2704327404499054,-0.26096704602241516
RSAR,C,student,42,7,7,complete_corruption_block,0.2231411412358284,-0.09400044488055366,41.99119888947327,66.41016538293698,0.33600449562072754,-0.19539529085159302
RSAR,C,student,43,7,7,complete_corruption_block,0.2187350413628987,-0.09840654475348336,41.16204916358056,66.50804664260177,0.3288850784301758,-0.20251470804214478
RSAR,C,student,44,7,7,complete_corruption_block,0.2200439976794379,-0.09709758843694415,41.408371489983566,69.79851891305928,0.3152559697628021,-0.21614381670951843
RSAR,D,student,42,7,7,complete_corruption_block,0.15424384442823275,-0.16289774168814933,29.02595152553133,48.56261054328657,0.3176185190677643,-0.21378126740455627
RSAR,D,student,43,7,7,complete_corruption_block,0.16213272831269673,-0.1550088578036853,30.51049933403424,53.41711160352085,0.3035220801830292,-0.22787770628929138
RSAR,D,student,44,7,7,complete_corruption_block,0.20818624858345305,-0.108955337532929,39.176953751805286,54.398850914784354,0.38270339369773865,-0.1486963927745819
RSAR,E,student,42,7,7,complete_corruption_block,0.17969292189393724,-0.1374486642224448,33.81501582581028,73.32974066787266,0.24504780769348145,-0.2863519787788391
RSAR,E,student,43,7,7,complete_corruption_block,0.1640284646834646,-0.15311312143291747,30.86724324305096,69.4169208544457,0.23629464209079742,-0.29510514438152313
RSAR,E,student,44,7,7,complete_corruption_block,0.17372079193592072,-0.14342079418046133,32.691167056946014,67.6992193647256,0.256606787443161,-0.27479299902915955
RSAR,F,student,42,7,7,complete_corruption_block,0.1354952443923269,-0.18164634172405517,25.497798049902784,49.422948533173894,0.27415451407432556,-0.257245272397995
RSAR,F,student,43,7,7,complete_corruption_block,0.1499336255448205,-0.16720796057156154,28.2148448986308,54.946108163558854,0.27287396788597107,-0.2585258185863495
RSAR,F,student,44,7,7,complete_corruption_block,0.16550363014851296,-0.15163795596786908,31.144843178655226,71.84576643007048,0.23035961389541626,-0.3010401725769043
DIOR,B,student,42,3,3,complete_corruption_block,0.2531271477540334,-0.01805805166562398,85.83495272167563,92.65980367867299,0.2731790244579315,-0.021720826625823975
DIOR,B,student,43,3,3,complete_corruption_block,0.2572035888830821,-0.013981610536575317,87.2172664509189,91.57288398712143,0.2808730900287628,-0.014026761054992676
DIOR,B,student,44,3,3,complete_corruption_block,0.2538484036922455,-0.017336795727411907,86.07952929082666,92.759707642238,0.27366235852241516,-0.021237492561340332
DIOR,C,student,42,3,3,complete_corruption_block,0.2509053150812785,-0.020279884338378906,85.08153332706094,94.05655528447419,0.26676005125045776,-0.02813979983329773
DIOR,C,student,43,3,3,complete_corruption_block,0.24979868531227112,-0.021386514107386272,84.70627719690674,95.80536151384727,0.2607356011867523,-0.034164249897003174
DIOR,C,student,44,3,3,complete_corruption_block,0.2521378695964813,-0.019047329823176067,85.49949030827784,92.2085314937133,0.2734431028366089,-0.021456748247146606
DIOR,D,student,42,3,3,complete_corruption_block,0.20013062159220377,-0.07105457782745361,67.86392765432899,92.78213422588514,0.21569952368736267,-0.07920032739639282
DIOR,D,student,43,3,3,complete_corruption_block,0.1914967546860377,-0.07968844473361969,64.93619918161642,92.30939725227101,0.2074509859085083,-0.08744886517524719
DIOR,D,student,44,3,3,complete_corruption_block,0.18917085727055868,-0.08201434214909871,64.14749162312451,95.14686133173944,0.1988198608160019,-0.0960799902677536
DIOR,E,student,42,3,3,complete_corruption_block,0.2598136415084203,-0.011371557911237081,88.1023305212283,94.94577438678692,0.27364423871040344,-0.02125561237335205
DIOR,E,student,43,3,3,complete_corruption_block,0.24579152961572012,-0.025393669803937275,83.34745803106969,96.57516139195842,0.25450801849365234,-0.04039183259010315
DIOR,E,student,44,3,3,complete_corruption_block,0.252426212032636,-0.01875898738702138,85.59726670087181,93.50525346787462,0.26995939016342163,-0.024940460920333862
DIOR,F,student,42,3,3,complete_corruption_block,0.18411244948705038,-0.08707274993260701,62.43219479780612,95.24267774385021,0.1933087706565857,-0.1015910804271698
DIOR,F,student,43,3,3,complete_corruption_block,0.1757169465223948,-0.09546825289726257,59.58529510158648,87.82208491027828,0.20008286833763123,-0.09481698274612427
DIOR,F,student,44,3,3,complete_corruption_block,0.17809593180815378,-0.0930892676115036,60.39200465976911,87.27993401519642,0.2040514051914215,-0.09084844589233398
