dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,F_veto_only,44,ema,aircraft,0.686,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F_veto_only,44,ema,car,0.772,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F_veto_only,44,ema,tank,0.134,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F_veto_only,44,ema,bridge,0.383,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,F_veto_only,44,ema,harbor,0.431,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,ship,0.679,printed class_ap.txt (typically 3 decimals),0.679,0.679,complete,/home/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,aircraft,0.601,printed class_ap.txt (typically 3 decimals),0.601,0.601,complete,/home/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,car,0.693,printed class_ap.txt (typically 3 decimals),0.693,0.693,complete,/home/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,tank,0.168,printed class_ap.txt (typically 3 decimals),0.168,0.168,complete,/home/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,bridge,0.368,printed class_ap.txt (typically 3 decimals),0.368,0.368,complete,/home/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,A,42,source,harbor,0.323,printed class_ap.txt (typically 3 decimals),0.323,0.323,complete,/home/zechuan/iraod_artifacts/comparison/rsar/chaff/seed_42/f2145b4/methods/A/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,42,ema,ship,0.666,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,42,ema,aircraft,0.611,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,42,ema,car,0.658,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,42,ema,tank,0.114,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,42,ema,bridge,0.328,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,42,ema,harbor,0.306,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_42/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
RSAR,chaff,F_text_only,43,ema,ship,0.673,printed class_ap.txt (typically 3 decimals),,,complete,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/chaff/seed_43/methods/F_text_only/ddp2/eval_full_chaff_ids_v1/class_ap.txt
