dataset,domain,method,seed,role,status,mAP50,eval_dir,eval_json,checkpoint_verified,missing,searched,native_sidecar_present
DIOR,clean,B,44,ema,metadata_collected,0.29848355054855347,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/B/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/B/eval_full_clean_ids_v1/eval_20260907_212627.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/B/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/B/eval_full_clean_ids_v1/eval_20260907_212627.json""]}]",True
DIOR,clean,C,42,ema,metadata_collected,0.29559457302093506,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_193632.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_193632.json""]}]",True
DIOR,clean,C,43,ema,metadata_collected,0.2968039810657501,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_091212.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_091212.json""]}]",True
DIOR,clean,C,44,ema,metadata_collected,0.2977563440799713,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_221942.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1/eval_20260907_221942.json""]}]",True
DIOR,clean,D,42,ema,metadata_collected,0.30014365911483765,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_195027.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_195027.json""]}]",True
DIOR,clean,D,43,ema,metadata_collected,0.2994125485420227,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_091658.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_091658.json""]}]",True
DIOR,clean,D,44,ema,metadata_collected,0.2985842823982239,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_225311.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/D/eval_full_clean_ids_v1/eval_20260907_225311.json""]}]",True
DIOR,clean,E,42,ema,metadata_collected,0.2986454367637634,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/eval_20260907_200155.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_42/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/eval_20260907_200155.json""]}]",True
DIOR,clean,E,43,ema,metadata_collected,0.29808932542800903,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/eval_20260908_035600.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_43/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/eval_20260908_035600.json""]}]",True
DIOR,clean,E,44,ema,metadata_collected,0.3018105626106262,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1,/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/eval_20260908_040937.json,True,[],"[{""directory"": ""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1"", ""eval_jsons"": [""/mnt/shared/zechuan/iraod_artifacts/comparison/dior/clean/seed_44/0f98a48/methods/E/ddp2/eval_full_clean_ids_v1/eval_20260908_040937.json""]}]",True
