dataset,method,role,metric,status,n,mean,sample_std,bootstrap_ci95_low,bootstrap_ci95_high,seeds
RSAR,A,source,mPC,fixed_source,1,0.31714158611638205,,,,42 (one fixed source measurement)
RSAR,A,source,delta_A,fixed_source,1,0.0,,,,42 (one fixed source measurement)
RSAR,A,source,rPC_percent,fixed_source,1,59.68041278708742,,,,42 (one fixed source measurement)
RSAR,A,source,method_clean_normalized_percent,incomplete,0,,,,,42 (one fixed source measurement)
RSAR,A,source,clean_mAP50,fixed_source,1,0.5313997864723206,,,,42 (one fixed source measurement)
RSAR,A,source,clean_delta_A,fixed_source,1,0.0,,,,42 (one fixed source measurement)
RSAR,B,ema,mPC,complete_low_power,3,0.32397348256338204,0.001317070671644372,0.32267254165240694,0.3253061111484255,"42,43,44"
RSAR,B,ema,delta_A,complete_low_power,3,0.0068318964470000495,0.0013170706716443645,0.005530955536024912,0.008164525032043457,"42,43,44"
RSAR,B,ema,rPC_percent,complete_low_power,3,60.96605433624072,0.24784930388995657,60.72124036677878,61.21683136306077,"42,43,44"
RSAR,B,ema,method_clean_normalized_percent,complete_low_power,3,61.77669398148284,0.48810095481933036,61.415001722933994,62.33187495374536,"42,43,44"
RSAR,B,ema,clean_mAP50,complete_low_power,3,0.5244467258453369,0.004345370568949299,0.5197048783302307,0.5282383561134338,"42,43,44"
RSAR,B,ema,clean_delta_A,complete_low_power,3,-0.006953060626983643,0.004345370568949299,-0.011694908142089844,-0.0031614303588867188,"42,43,44"
RSAR,C,ema,mPC,complete_low_power,3,0.33083569790635786,0.0038866088835850573,0.3263910732098988,0.33359625935554504,"42,43,44"
RSAR,C,ema,delta_A,complete_low_power,3,0.013694111789975849,0.003886608883585046,0.00924948709351676,0.01645467323916299,"42,43,44"
RSAR,C,ema,rPC_percent,complete_low_power,3,62.25740136303017,0.7313907499636363,61.42100194970624,62.77688998900667,"42,43,44"
RSAR,C,ema,method_clean_normalized_percent,complete_low_power,3,63.475764384189226,0.4390971560403478,63.13751687175119,63.97199328816632,"42,43,44"
RSAR,C,ema,clean_mAP50,complete_low_power,3,0.5212430556615194,0.009556020838793654,0.510209321975708,0.5268602967262268,"42,43,44"
RSAR,C,ema,clean_delta_A,complete_low_power,3,-0.010156730810801188,0.009556020838793654,-0.02119046449661255,-0.00453948974609375,"42,43,44"
RSAR,D,ema,mPC,complete_low_power,3,0.30551394465423765,0.00401514125324288,0.3010485427720206,0.3088266913379942,"42,43,44"
RSAR,D,ema,delta_A,complete_low_power,3,-0.011627641462144395,0.004015141253242864,-0.01609304334436144,-0.008314894778387887,"42,43,44"
RSAR,D,ema,rPC_percent,complete_low_power,3,57.492297217953656,0.7555782586773816,56.65198790735712,58.11569729602823,"42,43,44"
RSAR,D,ema,method_clean_normalized_percent,complete_low_power,3,59.86115627599856,0.728582226608407,59.034308623847856,60.40902072476405,"42,43,44"
RSAR,D,ema,clean_mAP50,complete_low_power,3,0.5103671153386434,0.0007441262673052052,0.5099200010299683,0.5112261176109314,"42,43,44"
RSAR,D,ema,clean_delta_A,complete_low_power,3,-0.021032671133677166,0.0007441262673052051,-0.021479785442352295,-0.02017366886138916,"42,43,44"
RSAR,E,ema,mPC,complete_low_power,3,0.32971090362185523,0.0014902687137024857,0.32846719878060476,0.3313627072743007,"42,43,44"
RSAR,E,ema,delta_A,complete_low_power,3,0.012569317505473182,0.001490268713702471,0.011325612664222717,0.014221121157918659,"42,43,44"
RSAR,E,ema,rPC_percent,complete_low_power,3,62.04573505959231,0.28044209870605785,61.81169190170797,62.356575164254544,"42,43,44"
RSAR,E,ema,method_clean_normalized_percent,complete_low_power,3,62.556353121104046,0.14639235376714768,62.38857959408157,62.65812155020646,"42,43,44"
RSAR,E,ema,clean_mAP50,complete_low_power,3,0.5270611643791199,0.0015745292389532412,0.5258550047874451,0.5288423895835876,"42,43,44"
RSAR,E,ema,clean_delta_A,complete_low_power,3,-0.004338622093200684,0.0015745292389532412,-0.005544781684875488,-0.00255739688873291,"42,43,44"
RSAR,F,ema,mPC,complete_low_power,3,0.2955353142959731,0.0037835494815155932,0.29117900878190994,0.29800016965184895,"42,43,44"
RSAR,F,ema,delta_A,complete_low_power,3,-0.02160627182040896,0.0037835494815155815,-0.025962577334472114,-0.019141416464533125,"42,43,44"
RSAR,F,ema,rPC_percent,complete_low_power,3,55.61449624544907,0.7119968012468634,54.794716933345406,56.07833823760317,"42,43,44"
RSAR,F,ema,method_clean_normalized_percent,complete_low_power,3,57.42113158773776,0.3320967661150498,57.04447600754665,57.67179871130141,"42,43,44"
RSAR,F,ema,clean_mAP50,complete_low_power,3,0.5146665970484415,0.003659058289509386,0.5104420781135559,0.516840398311615,"42,43,44"
RSAR,F,ema,clean_delta_A,complete_low_power,3,-0.016733189423878986,0.0036590582895093863,-0.02095770835876465,-0.014559388160705566,"42,43,44"
DIOR,A,source,mPC,fixed_source,1,0.2711851994196574,,,,42 (one fixed source measurement)
DIOR,A,source,delta_A,fixed_source,1,0.0,,,,42 (one fixed source measurement)
DIOR,A,source,rPC_percent,fixed_source,1,91.9584050053105,,,,42 (one fixed source measurement)
DIOR,A,source,method_clean_normalized_percent,incomplete,0,,,,,42 (one fixed source measurement)
DIOR,A,source,clean_mAP50,fixed_source,1,0.2948998510837555,,,,42 (one fixed source measurement)
DIOR,A,source,clean_delta_A,fixed_source,1,0.0,,,,42 (one fixed source measurement)
DIOR,B,ema,mPC,complete_low_power,3,0.27548734678162473,0.0008421462190355093,0.2746562212705612,0.2763400971889496,"42,43,44"
