dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,B,44,ema,harbor,0.42,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/B/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,42,ema,ship,0.762,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,42,ema,aircraft,0.676,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,42,ema,car,0.77,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,42,ema,tank,0.157,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,42,ema,bridge,0.376,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,42,ema,harbor,0.42,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,43,ema,ship,0.761,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,43,ema,aircraft,0.64,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,43,ema,car,0.763,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,43,ema,tank,0.133,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,43,ema,bridge,0.364,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,43,ema,harbor,0.4,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,44,ema,ship,0.761,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,C,44,ema,aircraft,0.676,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/C/eval_full_clean_ids_v1/class_ap.txt
