dataset,method,role,seed,valid_domains,expected_domains,all_domains_complete,all_domain_mean_mAP50_percent,available_domain_mean_mAP50_percent,all_domain_delta_vs_source_pp
DIOR,A,source,42,4,4,True,27.71138623356819,27.71138623356819,0.0
DIOR,AASFOD,ema,42,0,4,False,,,
DIOR,AASFOD,ema,43,0,4,False,,,
DIOR,AASFOD,ema,44,0,4,False,,,
DIOR,AASFOD,student,42,0,4,False,,,
DIOR,AASFOD,student,43,0,4,False,,,
DIOR,AASFOD,student,44,0,4,False,,,
DIOR,B,ema,42,4,4,True,28.084934130311012,28.084934130311012,0.37354789674282074
DIOR,B,ema,43,4,4,True,28.070272877812386,28.070272877812386,0.35888664424419403
DIOR,B,ema,44,4,4,True,28.187596052885056,28.187596052885056,0.476209819316864
DIOR,B,student,42,4,4,True,25.814011693000793,25.814011693000793,-1.897374540567398
DIOR,B,student,43,4,4,True,26.312096416950226,26.312096416950226,-1.3992898166179657
DIOR,B,student,44,4,4,True,25.88018923997879,25.88018923997879,-1.8311969935894012
DIOR,B_REG,ema,42,4,4,True,28.219252079725266,28.219252079725266,0.507865846157074
DIOR,B_REG,ema,43,4,4,True,28.131327405571938,28.131327405571938,0.41994117200374603
DIOR,B_REG,ema,44,4,4,True,28.148221224546432,28.148221224546432,0.43683499097824097
DIOR,C,ema,42,4,4,True,28.0484676361084,28.0484676361084,0.3370814025402069
DIOR,C,ema,43,4,4,True,28.081495314836502,28.081495314836502,0.37010908126831055
DIOR,C,ema,44,4,4,True,28.09446081519127,28.09446081519127,0.3830745816230774
DIOR,C,student,42,4,4,True,25.48689991235733,25.48689991235733,-2.224486321210861
DIOR,C,student,43,4,4,True,25.253291428089142,25.253291428089142,-2.4580948054790497
DIOR,C,student,44,4,4,True,25.74641779065132,25.74641779065132,-1.9649684429168701
DIOR,D,ema,42,4,4,True,27.610457316040993,27.610457316040993,-0.10092891752719879
DIOR,D,ema,43,4,4,True,27.67345979809761,27.67345979809761,-0.037926435470581055
DIOR,D,ema,44,4,4,True,27.585414052009583,27.585414052009583,-0.125972181558609
DIOR,D,student,42,4,4,True,20.40228471159935,20.40228471159935,-7.3091015219688416
DIOR,D,student,43,4,4,True,19.548531249165535,19.548531249165535,-8.162854984402657
DIOR,D,student,44,4,4,True,19.158310815691948,19.158310815691948,-8.553075417876244
DIOR,E,ema,42,4,4,True,28.142112493515015,28.142112493515015,0.4307262599468231
DIOR,E,ema,43,4,4,True,28.176401555538177,28.176401555538177,0.46501532196998596
DIOR,E,ema,44,4,4,True,28.1899631023407,28.1899631023407,0.4785768687725067
DIOR,E,student,42,4,4,True,26.32712908089161,26.32712908089161,-1.3842571526765823
DIOR,E,student,43,4,4,True,24.797065183520317,24.797065183520317,-2.9143210500478745
DIOR,E,student,44,4,4,True,25.68095065653324,25.68095065653324,-2.0304355770349503
DIOR,F,ema,42,4,4,True,27.779607102274895,27.779607102274895,0.06822086870670319
DIOR,F,ema,43,4,4,True,27.406159043312073,27.406159043312073,-0.3052271902561188
DIOR,F,ema,44,4,4,True,27.58384309709072,27.58384309709072,-0.1275431364774704
DIOR,F,student,42,4,4,True,18.64115297794342,18.64115297794342,-9.070233255624771
