dataset,domain,method,role,comparison_group,n_seeds,expected_seeds,seeds,mean_mAP50_percent,sample_std_percent,mean_delta_vs_source_pp
DIOR,cloudy,A,source,common_1epoch,1,1,42,29.026827216148376,,0.0
DIOR,cloudy,AASFOD,ema,common_1epoch,0,3,,,,
DIOR,cloudy,AASFOD,student,common_1epoch,0,3,,,,
DIOR,cloudy,B,ema,common_1epoch,3,3,42;43;44,29.649975895881653,0.10542836691416872,0.6231486797332764
DIOR,cloudy,B,student,common_1epoch,3,3,42;43;44,26.732165614763897,0.6235774340246527,-2.294661601384481
DIOR,cloudy,B_REG,ema,common_1epoch,3,3,42;43;44,29.751389225323994,0.05070042141695336,0.7245620091756185
DIOR,cloudy,C,ema,common_1epoch,3,3,42;43;44,29.42676643530528,0.005484243847216869,0.39993921915690106
DIOR,cloudy,C,student,common_1epoch,3,3,42;43;44,26.412569483121235,0.4638467340290503,-2.61425773302714
DIOR,cloudy,D,ema,common_1epoch,3,3,42;43;44,28.629525502522785,0.04693862486767499,-0.39730171362559
DIOR,cloudy,D,student,common_1epoch,3,3,42;43;44,20.08232871691386,1.487500226625374,-8.944498499234518
DIOR,cloudy,E,ema,common_1epoch,3,3,42;43;44,29.67925767103831,0.09772448139156337,0.6524304548899332
DIOR,cloudy,E,student,common_1epoch,3,3,42;43;44,26.783241828282673,0.801409606366119,-2.243585387865702
DIOR,cloudy,F,ema,common_1epoch,3,3,42;43;44,28.53549023469289,0.21798774049227246,-0.49133698145548504
DIOR,cloudy,F,student,common_1epoch,3,3,42;43;44,18.43308061361313,0.8527698732454968,-10.593746602535248
DIOR,cloudy,F_text_only,ema,common_1epoch,3,3,42;43;44,28.534795840581257,0.13353873003371214,-0.49203137556711835
DIOR,cloudy,F_veto_only,ema,common_1epoch,3,3,42;43;44,29.685422778129578,0.12692991769659234,0.6585955619812012
DIOR,cloudy,IRG,ema,common_1epoch,3,3,42;43;44,29.329996307690937,0.17849434556394944,0.30316909154256183
DIOR,cloudy,IRG,student,common_1epoch,3,3,42;43;44,27.023316423098247,0.33857323576018045,-2.0035107930501304
DIOR,cloudy,LPLD,ema,common_1epoch,3,3,42;43;44,29.321467876434326,0.2369024688141021,0.2946406602859497
DIOR,cloudy,LPLD,student,common_1epoch,3,3,42;43;44,27.362345655759174,0.12935030970932818,-1.664481560389201
DIOR,cloudy,LoRA-CGA,ema,supervised_lora_oracle,0,3,,,,
DIOR,cloudy,LoRA-CGA+VLST,ema,supervised_lora_oracle,0,3,,,,
DIOR,cloudy,SFUT,ema,common_1epoch,3,3,42;43;44,29.387601216634113,0.018150586268333796,0.3607740004857381
DIOR,cloudy,SFUT,student,common_1epoch,3,3,42;43;44,27.146728833516438,0.4398710045632702,-1.8800983826319377
DIOR,cloudy,SFYOLO,ema,extended_2epoch,0,3,,,,
DIOR,cloudy,SFYOLO,student,extended_2epoch,0,3,,,,
DIOR,contrast,A,source,common_1epoch,1,1,42,28.16031277179718,,0.0
DIOR,contrast,AASFOD,ema,common_1epoch,0,3,,,,
DIOR,contrast,AASFOD,student,common_1epoch,0,3,,,,
DIOR,contrast,B,ema,common_1epoch,3,3,42;43;44,28.4434974193573,0.11317709510668797,0.28318464756011963
DIOR,contrast,B,student,common_1epoch,3,3,42;43;44,26.29202902317047,0.30003899390766586,-1.868283748626709
DIOR,contrast,B_REG,ema,common_1epoch,3,3,42;43;44,28.30151617527008,0.14704125956223804,0.1412034034729004
