dataset,domain,method,seed,role,status,source_clean_TEST,source_corruption_mAP50,source_degradation,delta_A,recovery_ratio,interpretation,comparison_group
RSAR,noise_suppression,IRG,44,ema,complete,0.5313997864723206,0.16340675950050354,0.367993026971817,-0.16340675950050354,-0.4440485213678197,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,noise_suppression,LPLD,42,ema,complete,0.5313997864723206,0.16340675950050354,0.367993026971817,0.023325785994529724,0.06338648910408877,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,noise_suppression,LPLD,43,ema,complete,0.5313997864723206,0.16340675950050354,0.367993026971817,0.0221378356218338,0.060158301922197135,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,noise_suppression,LPLD,44,ema,complete,0.5313997864723206,0.16340675950050354,0.367993026971817,-0.16340675950050354,-0.4440485213678197,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,noise_suppression,SFUT,42,ema,complete,0.5313997864723206,0.16340675950050354,0.367993026971817,0.012229055166244507,0.03323175785931693,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,noise_suppression,SFUT,43,ema,complete,0.5313997864723206,0.16340675950050354,0.367993026971817,0.011171504855155945,0.030357925385394658,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,noise_suppression,SFUT,44,ema,complete,0.5313997864723206,0.16340675950050354,0.367993026971817,-0.16340675950050354,-0.4440485213678197,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_horizontal,A,42,source,complete,0.5313997864723206,0.2062060832977295,0.32519370317459106,0.0,0.0,descriptive_only_unstable_near_zero_gap,fixed_source
RSAR,am_noise_horizontal,IRG,42,ema,complete,0.5313997864723206,0.2062060832977295,0.32519370317459106,0.01687447726726532,0.05189054124521499,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_horizontal,IRG,43,ema,complete,0.5313997864723206,0.2062060832977295,0.32519370317459106,0.010281071066856384,0.031615221840063275,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_horizontal,IRG,44,ema,complete,0.5313997864723206,0.2062060832977295,0.32519370317459106,0.016108155250549316,0.04953403185024501,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_horizontal,LPLD,42,ema,complete,0.5313997864723206,0.2062060832977295,0.32519370317459106,-0.011438354849815369,-0.03517397396736894,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_horizontal,LPLD,43,ema,complete,0.5313997864723206,0.2062060832977295,0.32519370317459106,-0.005616888403892517,-0.017272439008072994,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_horizontal,LPLD,44,ema,complete,0.5313997864723206,0.2062060832977295,0.32519370317459106,-0.016300305724143982,-0.050124911906404966,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_horizontal,SFUT,42,ema,complete,0.5313997864723206,0.2062060832977295,0.32519370317459106,0.012303516268730164,0.03783442344861337,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_horizontal,SFUT,43,ema,complete,0.5313997864723206,0.2062060832977295,0.32519370317459106,0.01616954803466797,0.04972282020475288,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,am_noise_horizontal,SFUT,44,ema,complete,0.5313997864723206,0.2062060832977295,0.32519370317459106,0.014956697821617126,0.04599319628765113,descriptive_only_unstable_near_zero_gap,common_one_epoch
RSAR,smart_suppression,A,42,source,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,0.0,0.0,descriptive_only_unstable_near_zero_gap,fixed_source
RSAR,smart_suppression,IRG,42,ema,complete,0.5313997864723206,0.14372646808624268,0.3876733183860779,0.02451777458190918,0.0632433892638758,descriptive_only_unstable_near_zero_gap,common_one_epoch
