dataset,method,role,metric,status,n,mean,sample_std,bootstrap_ci95_low,bootstrap_ci95_high,seeds,comparison_group
DIOR,LPLD,ema,rPC_percent,complete_low_power,3,93.41065838978916,0.452550140669948,92.98252475418126,93.88420126114382,"42,43,44",common_one_epoch
DIOR,LPLD,ema,method_clean_normalized_percent,complete_low_power,3,92.24499541091888,0.46157013492555365,91.74755727654339,92.6594355277864,"42,43,44",common_one_epoch
DIOR,LPLD,ema,clean_mAP50,complete_low_power,3,0.2986292640368144,0.0015613720857499246,0.29699045419692993,0.30009952187538147,"42,43,44",common_one_epoch
DIOR,LPLD,ema,clean_delta_A,complete_low_power,3,0.0037294129530588784,0.0015613720857499246,0.0020906031131744385,0.0051996707916259766,"42,43,44",common_one_epoch
DIOR,SFUT,ema,mPC,complete_low_power,3,0.27289044691456693,5.879170229587019e-05,0.2728234877189,0.27293361226717633,"42,43,44",common_one_epoch
DIOR,SFUT,ema,delta_A,complete_low_power,3,0.0017052474949094986,5.879170229584907e-05,0.0016382882992426555,0.001748412847518921,"42,43,44",common_one_epoch
DIOR,SFUT,ema,rPC_percent,complete_low_power,3,92.536651311181,0.019936158692453916,92.51394557042842,92.55128860328232,"42,43,44",common_one_epoch
DIOR,SFUT,ema,method_clean_normalized_percent,complete_low_power,3,92.1958401706268,0.05802296983725751,92.12896681267983,92.23283079478954,"42,43,44",common_one_epoch
DIOR,SFUT,ema,clean_mAP50,complete_low_power,3,0.29599002997080487,0.00012501128038338257,0.29589706659317017,0.2961321473121643,"42,43,44",common_one_epoch
DIOR,SFUT,ema,clean_delta_A,complete_low_power,3,0.0010901788870493572,0.00012501128038338254,0.0009972155094146729,0.0012322962284088135,"42,43,44",common_one_epoch
