dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,IRG,44,ema,car,0.78,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,44,ema,tank,0.173,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,44,ema,bridge,0.4,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,IRG,44,ema,harbor,0.449,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_44/methods/IRG/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,42,ema,ship,0.763,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,42,ema,aircraft,0.745,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,42,ema,car,0.767,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,42,ema,tank,0.148,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,42,ema,bridge,0.367,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,LPLD,42,ema,harbor,0.416,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/formal_ports_runs_a39c832/rsar/clean/seed_42/methods/LPLD/eval_full_clean_ids_v1/class_ap.txt
