method,name,clean,mPC,rPC,mean_delta_ada,mean_recovery,n_corruptions,n_seeds,std
A,Source Only,0.5313997864723206,0.31714158611638205,59.68041278708742,0.0,0.0,7,1,N/A
B,ST,N/A_same_source,0.32394179488931385,60.9600912788826,0.0068002087729317805,-0.5148063505617814,7,1,N/A
C,CLIP-CGA,N/A_same_source,0.33359625935554504,62.776889989006676,0.01645467323916299,-0.3167476731583614,7,1,N/A
D,SARCLIP-CGA,N/A_same_source,0.3066665998526982,57.709206450475634,-0.010474986263683863,-0.9506839165409321,7,1,N/A
E,VLST,N/A_same_source,0.3313627072743007,62.356575164254544,0.014221121157918657,-0.24043304504524504,7,1,N/A
F,CGA+VLST,N/A_same_source,0.29742676445416044,55.97043356539865,-0.019714821662221636,-0.47629248076039493,7,1,N/A
